,Komentar
29,"Syarat terakhir, LaNyalla meminta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated. #LaNyalla"
30,Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. Para anggota DPR menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di Indonesia. #LaNyalla https://t.co/1eOTE5q5nO
31,"Sistem pendidikan yang pernah Anies gagas saat menjadi menteri pendidikan.

Kini guru bisa di cari di marketplace oleh Nadiem Makarim, kocak 🤣😝

Cekidot 😁👇 https://t.co/crOzL8kqRN"
32,"Wakil Ketua Komisi VII DPR RI Eddy Soeparno pada Jumat (9/6/2023), mengkritik kebijakan marketplace guru, ide yang digagas oleh Menteri Pendidikan, Kebudayaaan, Riset dan Teknologi Nadiem Makarim bulan Mei lalu. #VideoBerita #AdadiKompas 

https://t.co/CE7rbu4x0f"
33,PAN Minta Nadiem Kaji Ulang Konsep Marketplace Guru: Timpang Kesejahteraan Guru yang Harus Diatasi https://t.co/XpGlV9ysWu
34,"Tak banyak partai yang KONSISTEN memebela nasib para GURU, salah satunya adl PAN

Eddy Soeparno, Sekjend DPP PAN lebih menekankan kesejateraan guru ketimbang upaya marketplace guru yg diajukan oleh Nadiem Makarim

https://t.co/wiJaSS0kD6"
35,"@DemokrasiMartir @Nadiem_Makarim @luhut_binsar Ini yg kebijakan siswa bisa milih guru yg ngajar ya? Saya liat-liat kebanyakan yg protes istilahnya ""marketplace"" daripada fungsi dan tujuan programnya. Program ini lebih bagus untuk perguruan tinggi daripada sekolah, krn utk kondisi saat ini independensi siswa masih minim."
36,"MARKETPLACE GURU: BUKAN SOLUSI TEPAT PENDIDIKAN KITA.
.
Malam Jum’at yang berbahagia namun tidak dgn Luhut, Haris Azhar dan Fatia yg abis Bersidang. Merupakan saat yg tepat utk bahas kebijakan Mendikbud Nadiem yang penuh kontroversi ini. https://t.co/4SW0MBqpCf"
37,"Nadiem bilang Marketplace guru bisa menjadi akses kepala sekolah agar dapat merekrut serta memenuhi kebutuhan guru langsung dari marketplace, tanpa harus menunggu perekrutan nasional. Tapi apakah ini solusi paling tepat untuk masalah pendidikan yang carut marut di Indonesia? https://t.co/T6r8j2wTHY"
38,"Sekilas kebijakan Nadiem soal ""Marketplace Guru"" menjanjikan dan masuk akal, namun jk dikaji lebih dlm kebijakannya dungu kalo kata Rocky Gerung. Ide soal ini mnjadi solusi agar masalah merekrut guru cepat. Kepala sekolah bs mencari guru yg dibutuhkan melalui aplikasi dgn cepat. https://t.co/kTL8vdcezG"
39,"Nadiem dan Kebijakan Ngaur Soal ""Marketplace Guru""

Mulai dari Raffi Ahmad, Sule, Komeng semuanya sepakat bhwa masalah utama guru adalah kesejahteraan bukan perekrutan guru. Apalagi Nadiem ingin membuat ""Marketplace Guru"" yg justru menimbulkan masalah baru. https://t.co/4guvMkkWIk"
40,"Ngopi dulu sambil nungguin si Nadiem bangun☕

Perdebatan dikalangan partai pun terjadi, gara2 marketplace ala Nadiem yg tdk jelas. Ia mengajukan bhw guru yg lulus PPPK sejak awal memang ga dijamin akan mendapatkan penempatan.

Begini nih kalau kurangnya komunikasi.
Jadi ngaco😂 https://t.co/NlGvQJyIqT"
41,"""JALUR TIKUS MARKETPLACE GURU ALA NADIEM"" 

Bung Madin kali ini, mau bongkar2 sisi bobrok dari ""MARKETPLACE GURU"" yg bkn hanya sekadar kebijakan belaka, melainkan tersimpan sisi bisnis, korupsi hingga memperdagangkan guru layaknya barang dagangan.

Sadisss😱 https://t.co/Wzg4s94JZL"
42,"Marketplace memang bisa mempertemukan demand &amp; supply dgn cepat, tapi bagaimana meningkatkan kualitas dan kesejahteraan guru blm terjawab.

Program Marketplace Guru Inisiasi Nadiem Dikritik PAN, Dinilai Hanya Solusi Jangka Pendek. Monggo pak @nadiemmakarim 🙏 https://t.co/miFHs1bKmc"
43,"Bukti PAN peduli dengan nasib Guru..

Wakil Ketua Komisi VII DPR Eddy Soeparno menyoroti ide dari Menteri Pendidikan, Kebudayaan, Riset dan Teknologi (Mendikbudristek) Nadiem Makarim soal pembentukan platform Marketplace Guru atau lokapasar untuk penyelesaian masalah pendidikan di Indonesia.

Eddy mengatakan bahwa ide tersebut kurang tepat untuk dilakukan saat ini.
Eddy menilai platform tersebut juga tidak bisa memastikan soal kualitas guru. Dia menyebut Nadiem seharusnya menyelesaikan masalah yang ada, seperti soal ketimpangan kesejahteraan.
@Official_PAN @ZUL_Hasan
https://t.co/KHqkO2k9pr"
44,"Kritik Marketplace Guru Gagasan Nadiem, Loyalis Jokowi: Berpotensi Memunculkan Subjektivitas dari Sekolah dan Stakeholder 
https://t.co/DQ75jzahOz 
#JhonSitorus #Jokowi #MarketplaceGuru #NadiemMakarim"
45,Marketplace Guru ala mas Nadiem ini keren menurutku apalg jaman now. Mengingat masih bnyk dibutuhkan tenaga guru di pelosok tanah air. https://t.co/Z3isIMLeyo
46,"Ide tersebut berupa gagasan pembentukan  platform bernama Marketplace Guru. Menurut Nadiem pencetusan gagasan Marketplace Guru sebagai upaya dalam mengatasi masalah tenaga guru honorer yang terjadi selama bertahun-tahun. Platform marketplace Guru merupakan media perekrutan guru, https://t.co/twxAJba6Y5"
47,"[ MARKETPLACE GURU: SOLUSI ATAU DEGRADASI?]

Halo Warga Pendidikan Ekonomi!👋🏻
Salam Perjuangan!
Salam Demokrasi Bagi Kita Semua

Dewasa ini, dunia pendidikan dihebohkan oleh ide baru yang di keluarkan oleh Menteri Pendidikan, kebudayaan, Riset, dan Teknologi Nadiem Makarim. https://t.co/V0d8G0f9JN"
48,"28) untuk mengurus perekrutan guru marketplace.

Menteri Nadiem menyampaikan bahwa guru yang lulus ujian PPPK sejak awal memang tidak dijamin akan mendapat penempatan. Pernyataan ini mengagetkan banyak guru karena sejak awal mereka merasa bahwa bila lulus PPPK, berarti akan...."
49,"24) Jika gaji guru PPPK nanti dibayar melalui sekolah secara langsung sebagaimana dana BOS, potensi korupsi, kolusi, dan nepotisme (KKN) yang selama ini terjadi pada dana BOS akan berpotensi besar terjadi pula pada marketplace. Nadiem berjanji dana yang ditransfer..."
50,"19) dengan langsung ke sekolah melalui marketplace guru.

*Anggaran Guru*

Solusi Nadiem ini jelas tidak memecahkan persoalan inti, yaitu selisih kuota guru antara pusat dan daerah."
51,"8) Meskipun sistem ini nanti bersifat tertutup, paradigma guru sebagai produk dan sekolah sebagai warung dagangan akan diwujudkan dalam marketplace guru ala Nadiem ini.

Velislava Hillman dan Molly Esquivel (2022) menggambarkan bagaimana guru profesional di Inggris harus ..."
52,"7) melalui pihak ketiga (edtech). Dengan demikian, guru harus siap dipajang layaknya barang dagangan.

Mslahny, Nadiem hendak menerapkan pola kerja marketplace ini dalam seleksi aparatur sipil negara (ASN) guru PPPK, yang notabene merupakan seleksi guru yg dilakukan pemerintah."
53,"2) (PPPK) untuk guru. Salah satunya, Nadiem menawarkan marketplace guru sebagai solusi untuk formasi guru yang tidak kunjung terpenuhi hingga kini."
54,"Program Marketplace Guru Inisiasi Nadiem Dikritik, Dinilai Hanya Solusi Jangka Pendek

https://t.co/tn9J2wM8tl"
55,"Wow busyet 💥
Guru diperjual-belikan di MARKETPLACE  bagai barang dagangan 🐣

 Kritik ""Marketplace Guru"" ala Nadiem Makarim 

https://t.co/WN3CTxldHu"
56,"Kritik ""Marketplace Guru"" ala Nadiem Makarim  https://t.co/JVfv8DsdpX"
57,"@IAmGargantua @dokterparu kalo dokter kayanya belom om, kalo guru udah mau tuh (apa udah ya?) sama si nadiem... marketplace guru"
58,Wakil Ketua Komisi VII DPR @eddy_soeparno mengkritik ide Mendikbudristek Nadiem Makarim soal pembentukan platform Marketplace Guru. https://t.co/6lFeXq9E0m
59,Wakil Ketua Komisi VII DPR Eddy Soeparno mengkritik ide Mendikbudristek Nadiem Makarim soal pembentukan platform Marketplace Guru. https://t.co/TCM6Fdn3DI
60,Menteri PANRB Abdullah Azwar Anas merespons usulan Mendikbud Nadiem Makariem soal marketplace guru. Apa katanya? https://t.co/830JCukq3H
61,"Nadiem Makarim yang tujuannya mampu mengatasi masalah tenaga guru honorer yang terjadi selama bertahun-tahun. Membuat Marketplace Guru tentu butuh sistem yang canggih dan dapat dijangkau oleh seluruh wilayah di Indonesia, serta pembiayaan yang tidak sedikit."
62,"Anggota DPR Nilai Marketplace Guru ala Nadiem Tak Selesaikan Masalah
@myputun https://t.co/E53qYcySpB lewat @muslimtrend.com https://t.co/VFB1N7SecB"
63,"@tubirfess Jdi setuju deh sama Nadiem Makarim guru emang harus dibuat marketplace. Biarkan rating dan bintang yg berbicara, seenggaknya mengurangi spesies b*gs*t berkedok guru seperti ini"
64,"Dikritik Habis-habisan, Nadiem Akan Ubah Diksi Marketplace Guru Jadi Ruang Talenta Guru https://t.co/8NJq3NaalB"
65,"Setelah Nadiem membuat peraturan baru terkait rekrutmen guru menggunakan marketplace, hal ini menuai kontroversi. 

Pak Nadiem seharusnya lbh mementingkan nasib guru honorer yg di gaji hanya 300 rb perbulan.

Begini nih kalau terlahir kaya, gk pernah rasanya jadi guru. https://t.co/IpkdJZkC4n"
66,"Anggota DPR Nilai Marketplace Guru ala Nadiem Tak Selesaikan Masalah

Baca Selengkapnya Disini
https://t.co/gKTgF3mMM6

#atapnews #nasional #indonesia #BreakingNews #news #NewsUpdate #beritaterkini #beritaViral #viral #DPR #guru https://t.co/3Bk9g1sD6e"
67,"Mengenal Marketplace Guru, Usulan Menteri Nadiem Tuai Kontroversi https://t.co/UhxX8RS93n"
68,Ketua DPD RI Dukung Gagasan Menteri Nadiem tentang Marketplace Guru https://t.co/d8UI60nKRN
69,"Aplikasi Marketplace Umpamakan Guru Seperti Barang, Nadiem Dinilai Tak Hormati Tugas Mulia @nadiemmakarim @PDemokrat  https://t.co/DL7fxlFfkM"
