,Komentar,tokenization
267,sudah dengar wacana marketplace guru mendikbudristek nadiem makarim mengusung rencana pembuatan marketplace guru atau database berisi talent pool guru sekolah dapat mengakses marketplace guru dan merekrut guru sesuai kebutuhan akan tetapi wacana ini menuai pro kontra ,"['sudah', 'dengar', 'wacana', 'marketplace', 'guru', 'mendikbudristek', 'nadiem', 'makarim', 'mengusung', 'rencana', 'pembuatan', 'marketplace', 'guru', 'atau', 'database', 'berisi', 'talent', 'pool', 'guru', 'sekolah', 'dapat', 'mengakses', 'marketplace', 'guru', 'dan', 'merekrut', 'guru', 'sesuai', 'kebutuhan', 'akan', 'tetapi', 'wacana', 'ini', 'menuai', 'pro', 'kontra', '']"
268,bukan semata keberatan soal istilah marketplace yang mengandaikan guru seperti barang yang diperjualbelikan di lokapasar tetapi pada rencana ini tidak menyelesaikan persoalan perekrutan guru pppk ,"['bukan', 'semata', 'keberatan', 'soal', 'istilah', 'marketplace', 'yang', 'mengandaikan', 'guru', 'seperti', 'barang', 'yang', 'diperjualbelikan', 'di', 'lokapasar', 'tetapi', 'pada', 'rencana', 'ini', 'tidak', 'menyelesaikan', 'persoalan', 'perekrutan', 'guru', 'pppk', '']"
269,siapa yg komersilkan bukankah sistem yg merancang setiap hal harus dijual dan dibeli guru aja bisa d beli d marketplace,"['siapa', 'yg', 'komersilkan', 'bukankah', 'sistem', 'yg', 'merancang', 'setiap', 'hal', 'harus', 'dijual', 'dan', 'dibeli', 'guru', 'aja', 'bisa', 'd', 'beli', 'd', 'marketplace']"
270,soal marketplace guru ,"['soal', 'marketplace', 'guru', '']"
271,perekrutan guru pppk belum tuntas berbagai terobosan ditawarkan tetapi belum menyentuh akar persoalan ide marketplace guru dari pemerintah tidak menyelesaikan masalah    ,"['perekrutan', 'guru', 'pppk', 'belum', 'tuntas', 'berbagai', 'terobosan', 'ditawarkan', 'tetapi', 'belum', 'menyentuh', 'akar', 'persoalan', 'ide', 'marketplace', 'guru', 'dari', 'pemerintah', 'tidak', 'menyelesaikan', 'masalah', '']"
272,perekrutan guru pppk belum tuntas berbagai terobosan ditawarkan tetapi belum menyentuh akar persoalan ide marketplace guru dari pemerintah tidak menyelesaikan masalah    ,"['perekrutan', 'guru', 'pppk', 'belum', 'tuntas', 'berbagai', 'terobosan', 'ditawarkan', 'tetapi', 'belum', 'menyentuh', 'akar', 'persoalan', 'ide', 'marketplace', 'guru', 'dari', 'pemerintah', 'tidak', 'menyelesaikan', 'masalah', '']"
273, dpr marketplace guru tak selesaikan akar masalah tenaga pendidik indonesia ketua komisi x dpr ri syaiful huda menilai gagasan mendikbudristek nadiem makarim tentang marketplace guru tidak menyelesaikan akar permasalahan tenaga pendidikan di indonesia menurutnya marketplace guru dinilai hanya menjawab isu distribusi guru saja,"['', 'dpr', 'marketplace', 'guru', 'tak', 'selesaikan', 'akar', 'masalah', 'tenaga', 'pendidik', 'indonesia', 'ketua', 'komisi', 'x', 'dpr', 'ri', 'syaiful', 'huda', 'menilai', 'gagasan', 'mendikbudristek', 'nadiem', 'makarim', 'tentang', 'marketplace', 'guru', 'tidak', 'menyelesaikan', 'akar', 'permasalahan', 'tenaga', 'pendidikan', 'di', 'indonesia', 'menurutnya', 'marketplace', 'guru', 'dinilai', 'hanya', 'menjawab', 'isu', 'distribusi', 'guru', 'saja']"
274,marketplace guru akankah menjadi solusi untuk penuhi kebutuhan tenaga pendidik mendikbudristek nadiem anwar makarim sedang menyiapkan konsep baru dalam dunia pendidikan ide tersebut    via ,"['marketplace', 'guru', 'akankah', 'menjadi', 'solusi', 'untuk', 'penuhi', 'kebutuhan', 'tenaga', 'pendidik', 'mendikbudristek', 'nadiem', 'anwar', 'makarim', 'sedang', 'menyiapkan', 'konsep', 'baru', 'dalam', 'dunia', 'pendidikan', 'ide', 'tersebut', 'via', '']"
275,gpt guru enables the creation of nft marketplaces what impact do you foresee nfts having on the future of digital ownership and how does gpt guru support creators in navigating this emerging landscape,"['gpt', 'guru', 'enables', 'the', 'creation', 'of', 'nft', 'marketplaces', 'what', 'impact', 'do', 'you', 'foresee', 'nfts', 'having', 'on', 'the', 'future', 'of', 'digital', 'ownership', 'and', 'how', 'does', 'gpt', 'guru', 'support', 'creators', 'in', 'navigating', 'this', 'emerging', 'landscape']"
276,how does gpt guru enable users to create strong and userfriendly nft marketplaces and what sets gurus offerings apart from other similar marketplaces in terms of unique features and functionalities,"['how', 'does', 'gpt', 'guru', 'enable', 'users', 'to', 'create', 'strong', 'and', 'userfriendly', 'nft', 'marketplaces', 'and', 'what', 'sets', 'gurus', 'offerings', 'apart', 'from', 'other', 'similar', 'marketplaces', 'in', 'terms', 'of', 'unique', 'features', 'and', 'functionalities']"
277,gpt guru supports the establishment of nft marketplaces how do you think nfts will transform the concept of digital ownership in the future and how does gpt guru assist creators in adapting to this new environment,"['gpt', 'guru', 'supports', 'the', 'establishment', 'of', 'nft', 'marketplaces', 'how', 'do', 'you', 'think', 'nfts', 'will', 'transform', 'the', 'concept', 'of', 'digital', 'ownership', 'in', 'the', 'future', 'and', 'how', 'does', 'gpt', 'guru', 'assist', 'creators', 'in', 'adapting', 'to', 'this', 'new', 'environment']"
278,marketplace guru di tengah kesenjangan internet teknologi dan sdm ,"['marketplace', 'guru', 'di', 'tengah', 'kesenjangan', 'internet', 'teknologi', 'dan', 'sdm', '']"
279,mengurai ide marketplace guru ,"['mengurai', 'ide', 'marketplace', 'guru', '']"
280,marketplace guru permasalahan guru tidak bisa selesai hanya dengan mekanisme pasar supply and demand lebih baik mendikbud fokus meningkatkan kesejahteraan guru dan pemerataan kualitas mendikbud juga seharusnya mencari solusi bagi guru honorer yang digaji sangat rendah ,"['marketplace', 'guru', 'permasalahan', 'guru', 'tidak', 'bisa', 'selesai', 'hanya', 'dengan', 'mekanisme', 'pasar', 'supply', 'and', 'demand', 'lebih', 'baik', 'mendikbud', 'fokus', 'meningkatkan', 'kesejahteraan', 'guru', 'dan', 'pemerataan', 'kualitas', 'mendikbud', 'juga', 'seharusnya', 'mencari', 'solusi', 'bagi', 'guru', 'honorer', 'yang', 'digaji', 'sangat', 'rendah', '']"
281,nah loh ketua pgri nilai marketplace guru sulit diterapkan di sekolah negeri ternyata ini alasannya ,"['nah', 'loh', 'ketua', 'pgri', 'nilai', 'marketplace', 'guru', 'sulit', 'diterapkan', 'di', 'sekolah', 'negeri', 'ternyata', 'ini', 'alasannya', '']"
282,pada diskusi ngopi seksi ngobrol pintar seputar kebijakan edukasi dengan topik marketplace guru ide brilian atau disorientasi kebijakan  minggu  juni    wib  aplikasi youtube live streaming  bersama ferdiansyah anggota komisi x dpr ri x  salamahspd mpd kepala sekolah influencer penulis buku  iman zanatul haeri kepala bidang advokasi guru pg moderator indra charismiadji vox populi institute indonesia dan ki bambang pharmasetiawan nu circle saya menyampaikan beberapa poin mengapresiasi arahan presiden jokowi yg dengan tanggap memerintahkan pembenahan sistem pelayanan berbasis elektronik spbe dan melarang kementerian untuk membuat aplikasi baru saat ini ada an aplikasi yg tidak selalu terintegrasi satu sama lain  kasus aplikasi marketplace guru ini diawali dengan statement bernuansa gimik politik dari saudara mendikbudristek yg mendeklarasikan satu juta guru honorer akan menjadi pns melalui pppk padahal kewenangan guru berdasarkan uu otonomi daerah itu ada di pemerintah daerah seharusnya kemendikbudristek duduk dulu bersama pemerintah daerah menyepakati berapa guru honorer yg bisa menjadi asn dan menyepakati kemungkinan perekrutannya sebelum muncul angka satu juta tersebut ternyata tidak semua pemerintah daerah mengajukan formasi yg menyebabkan angka satu juta guru pun jauh dari tercapai tentu saja pemerintah daerah tidak mau di faith accompli secara sepihak oleh kemendikbudristek karena ini terkait dengan politik anggaran daerah  kemendikbudristek segera menuntaskan carut marut pppk ini terutama yg sudah lulus prioritas p berjumlah an orang sebagian mereka sudah melepaskan pekerjaan mereka sekarang terkatungkatung dalam waktu cukup lama tidak mendapatkan penghasilan karena menunggu formasi yg tidak kunjung tiba ini menjadi hutang pemerintah di mana sekian puluh ribu guru tidak mendapatkan penghasilan karena keteledoran kebijakan dan ini harus dihitung kompensasinya karena itu supaya tidak membesar kemendikbudristek harus segera duduk bersama pemerintah daerah mencari solusi penyelesaiannya  pppk ini merugikan sekolah berbasis masyarakat swasta karena guru yg mereka bina lulus pppk pindah ke sekolah negeri berdasarkan uu asn  dan peraturan badan kepegawaian negara bkn  bahwa asn bisa mendapatkan penugasan khusus di luar instansi pemerintah karena itu untuk membantu menyelesaikan sebagian kebuntuan ini sebaiknya guru yg berasal dari sekolah swasta dan lulus pppk dikembalikan ke sekolah swasta asal dan mengajar sebagai asn ini dimungkinkan dan tidak akan merugikan pemerintah karena mereka sama mengajar mencerdaskan anak bangsa dan akan meningkatkan sinergi antara sekolah berbasis masyarakat dengan pemerintah  mengingatkan agar saudara mendikbudristek berhatihati dalam membuat kebijakan tidak sekedar gimik politik yg didorong oleh syahwat populis belaka alih ingin mengambil hati satu juta guru honorer yg diimingimingi menjadi asn malah merugikan masa depan dan keluarga mereka r alpha amirrachman mphil phd wakil ketua majelis dikdasmen pnf pp muhammadiyah ,"['pada', 'diskusi', 'ngopi', 'seksi', 'ngobrol', 'pintar', 'seputar', 'kebijakan', 'edukasi', 'dengan', 'topik', 'marketplace', 'guru', 'ide', 'brilian', 'atau', 'disorientasi', 'kebijakan', 'minggu', 'juni', 'wib', 'aplikasi', 'youtube', 'live', 'streaming', 'bersama', 'ferdiansyah', 'anggota', 'komisi', 'x', 'dpr', 'ri', 'x', 'salamahspd', 'mpd', 'kepala', 'sekolah', 'influencer', 'penulis', 'buku', 'iman', 'zanatul', 'haeri', 'kepala', 'bidang', 'advokasi', 'guru', 'pg', 'moderator', 'indra', 'charismiadji', 'vox', 'populi', 'institute', 'indonesia', 'dan', 'ki', 'bambang', 'pharmasetiawan', 'nu', 'circle', 'saya', 'menyampaikan', 'beberapa', 'poin', 'mengapresiasi', 'arahan', 'presiden', 'jokowi', 'yg', 'dengan', 'tanggap', 'memerintahkan', 'pembenahan', 'sistem', 'pelayanan', 'berbasis', 'elektronik', 'spbe', 'dan', 'melarang', 'kementerian', 'untuk', 'membuat', 'aplikasi', 'baru', 'saat', 'ini', 'ada', 'an', 'aplikasi', 'yg', 'tidak', 'selalu', 'terintegrasi', 'satu', 'sama', 'lain', 'kasus', 'aplikasi', 'marketplace', 'guru', 'ini', 'diawali', 'dengan', 'statement', 'bernuansa', 'gimik', 'politik', 'dari', 'saudara', 'mendikbudristek', 'yg', 'mendeklarasikan', 'satu', 'juta', 'guru', 'honorer', 'akan', 'menjadi', 'pns', 'melalui', 'pppk', 'padahal', 'kewenangan', 'guru', 'berdasarkan', 'uu', 'otonomi', 'daerah', 'itu', 'ada', 'di', 'pemerintah', 'daerah', 'seharusnya', 'kemendikbudristek', 'duduk', 'dulu', 'bersama', 'pemerintah', 'daerah', 'menyepakati', 'berapa', 'guru', 'honorer', 'yg', 'bisa', 'menjadi', 'asn', 'dan', 'menyepakati', 'kemungkinan', 'perekrutannya', 'sebelum', 'muncul', 'angka', 'satu', 'juta', 'tersebut', 'ternyata', 'tidak', 'semua', 'pemerintah', 'daerah', 'mengajukan', 'formasi', 'yg', 'menyebabkan', 'angka', 'satu', 'juta', 'guru', 'pun', 'jauh', 'dari', 'tercapai', 'tentu', 'saja', 'pemerintah', 'daerah', 'tidak', 'mau', 'di', 'faith', 'accompli', 'secara', 'sepihak', 'oleh', 'kemendikbudristek', 'karena', 'ini', 'terkait', 'dengan', 'politik', 'anggaran', 'daerah', 'kemendikbudristek', 'segera', 'menuntaskan', 'carut', 'marut', 'pppk', 'ini', 'terutama', 'yg', 'sudah', 'lulus', 'prioritas', 'p', 'berjumlah', 'an', 'orang', 'sebagian', 'mereka', 'sudah', 'melepaskan', 'pekerjaan', 'mereka', 'sekarang', 'terkatungkatung', 'dalam', 'waktu', 'cukup', 'lama', 'tidak', 'mendapatkan', 'penghasilan', 'karena', 'menunggu', 'formasi', 'yg', 'tidak', 'kunjung', 'tiba', 'ini', 'menjadi', 'hutang', 'pemerintah', 'di', 'mana', 'sekian', 'puluh', 'ribu', 'guru', 'tidak', 'mendapatkan', 'penghasilan', 'karena', 'keteledoran', 'kebijakan', 'dan', 'ini', 'harus', 'dihitung', 'kompensasinya', 'karena', 'itu', 'supaya', 'tidak', 'membesar', 'kemendikbudristek', 'harus', 'segera', 'duduk', 'bersama', 'pemerintah', 'daerah', 'mencari', 'solusi', 'penyelesaiannya', 'pppk', 'ini', 'merugikan', 'sekolah', 'berbasis', 'masyarakat', 'swasta', 'karena', 'guru', 'yg', 'mereka', 'bina', 'lulus', 'pppk', 'pindah', 'ke', 'sekolah', 'negeri', 'berdasarkan', 'uu', 'asn', 'dan', 'peraturan', 'badan', 'kepegawaian', 'negara', 'bkn', 'bahwa', 'asn', 'bisa', 'mendapatkan', 'penugasan', 'khusus', 'di', 'luar', 'instansi', 'pemerintah', 'karena', 'itu', 'untuk', 'membantu', 'menyelesaikan', 'sebagian', 'kebuntuan', 'ini', 'sebaiknya', 'guru', 'yg', 'berasal', 'dari', 'sekolah', 'swasta', 'dan', 'lulus', 'pppk', 'dikembalikan', 'ke', 'sekolah', 'swasta', 'asal', 'dan', 'mengajar', 'sebagai', 'asn', 'ini', 'dimungkinkan', 'dan', 'tidak', 'akan', 'merugikan', 'pemerintah', 'karena', 'mereka', 'sama', 'mengajar', 'mencerdaskan', 'anak', 'bangsa', 'dan', 'akan', 'meningkatkan', 'sinergi', 'antara', 'sekolah', 'berbasis', 'masyarakat', 'dengan', 'pemerintah', 'mengingatkan', 'agar', 'saudara', 'mendikbudristek', 'berhatihati', 'dalam', 'membuat', 'kebijakan', 'tidak', 'sekedar', 'gimik', 'politik', 'yg', 'didorong', 'oleh', 'syahwat', 'populis', 'belaka', 'alih', 'ingin', 'mengambil', 'hati', 'satu', 'juta', 'guru', 'honorer', 'yg', 'diimingimingi', 'menjadi', 'asn', 'malah', 'merugikan', 'masa', 'depan', 'dan', 'keluarga', 'mereka', 'r', 'alpha', 'amirrachman', 'mphil', 'phd', 'wakil', 'ketua', 'majelis', 'dikdasmen', 'pnf', 'pp', 'muhammadiyah', '']"
283, guru guru is one of the oldest platform to find freelancing work this marketplace provide work related to  categories from web developer to content writing check here   ,"['', 'guru', 'guru', 'is', 'one', 'of', 'the', 'oldest', 'platform', 'to', 'find', 'freelancing', 'work', 'this', 'marketplace', 'provide', 'work', 'related', 'to', 'categories', 'from', 'web', 'developer', 'to', 'content', 'writing', 'check', 'here', '']"
284,terobosan naon kurikulum yang nyusahin guru itu progam magang dibayar tapi duitnya seret hingga setiap batchnya diprotes peserta program iisma yang bias kelas dan ga jelas outputnya itu program marketplace guru yang absurd oiya nadiem aja gabisa bedain pendidikan vokasi dan universitas  masa yang kayak gitu dibilang terobosan sih ,"['terobosan', 'naon', 'kurikulum', 'yang', 'nyusahin', 'guru', 'itu', 'progam', 'magang', 'dibayar', 'tapi', 'duitnya', 'seret', 'hingga', 'setiap', 'batchnya', 'diprotes', 'peserta', 'program', 'iisma', 'yang', 'bias', 'kelas', 'dan', 'ga', 'jelas', 'outputnya', 'itu', 'program', 'marketplace', 'guru', 'yang', 'absurd', 'oiya', 'nadiem', 'aja', 'gabisa', 'bedain', 'pendidikan', 'vokasi', 'dan', 'universitas', 'masa', 'yang', 'kayak', 'gitu', 'dibilang', 'terobosan', 'sih', '']"
285,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,"['soal', 'rekrutmen', 'guru', 'honorer', 'nadiem', 'makarim', 'berikan', 'solusi', 'salah', 'satunya', 'melalui', 'marketplace', 'guru', '']"
286,pergunu mengkritik istilah marketplace guru yang erat kaitannya dengan komoditi ,"['pergunu', 'mengkritik', 'istilah', 'marketplace', 'guru', 'yang', 'erat', 'kaitannya', 'dengan', 'komoditi', '']"
287,bayanganku kepala sekolah jdi superpower bgt dlm memilih guru yg ada di marketplace untuk ngajar di sekahnya tinggal wani piro sama kepseknya,"['bayanganku', 'kepala', 'sekolah', 'jdi', 'superpower', 'bgt', 'dlm', 'memilih', 'guru', 'yg', 'ada', 'di', 'marketplace', 'untuk', 'ngajar', 'di', 'sekahnya', 'tinggal', 'wani', 'piro', 'sama', 'kepseknya']"
288,marketplace guru ini arahnya mau kemana,"['marketplace', 'guru', 'ini', 'arahnya', 'mau', 'kemana']"
289,bahan presentasi webinar marketplace guru  utas ,"['bahan', 'presentasi', 'webinar', 'marketplace', 'guru', 'utas', '']"
290,i just listed  items for sale via   collections rabbits guru official rabbits guru   marketplaces opensea,"['i', 'just', 'listed', 'items', 'for', 'sale', 'via', 'collections', 'rabbits', 'guru', 'official', 'rabbits', 'guru', 'marketplaces', 'opensea']"
291,para insan pendidikan yang kami hormati mari kita ikuti bersama acara ngopi seksi ngobrol pintar seputar kebijakan edukasi dengan topik marketplace guru ide brilian atau disorientasi kebijakan  minggu  juni    wib  aplikasi youtube live streaming   registrasi untuk esertifikat  narasumber  ferdiansyah anggota komisi x dpr ri  h r alpha amirrachman mphil phd wakil ketua majelis dikdasmen pnf pp muhammadiyah  salamahspd mpd kepala sekolah influencer penulis buku  iman zanatul haeri kepala bidang advokasi guru pg moderator  indra charismiadji vox populi institute indonesia  ki bambang pharmasetiawan nu circle narahubung irawan   gratis acaranya berbobot kontennya ada sertifikatnya,"['para', 'insan', 'pendidikan', 'yang', 'kami', 'hormati', 'mari', 'kita', 'ikuti', 'bersama', 'acara', 'ngopi', 'seksi', 'ngobrol', 'pintar', 'seputar', 'kebijakan', 'edukasi', 'dengan', 'topik', 'marketplace', 'guru', 'ide', 'brilian', 'atau', 'disorientasi', 'kebijakan', 'minggu', 'juni', 'wib', 'aplikasi', 'youtube', 'live', 'streaming', 'registrasi', 'untuk', 'esertifikat', 'narasumber', 'ferdiansyah', 'anggota', 'komisi', 'x', 'dpr', 'ri', 'h', 'r', 'alpha', 'amirrachman', 'mphil', 'phd', 'wakil', 'ketua', 'majelis', 'dikdasmen', 'pnf', 'pp', 'muhammadiyah', 'salamahspd', 'mpd', 'kepala', 'sekolah', 'influencer', 'penulis', 'buku', 'iman', 'zanatul', 'haeri', 'kepala', 'bidang', 'advokasi', 'guru', 'pg', 'moderator', 'indra', 'charismiadji', 'vox', 'populi', 'institute', 'indonesia', 'ki', 'bambang', 'pharmasetiawan', 'nu', 'circle', 'narahubung', 'irawan', 'gratis', 'acaranya', 'berbobot', 'kontennya', 'ada', 'sertifikatnya']"
292,ketua pgri nilai marketplace guru sulit diterapkan di sekolah negeri ,"['ketua', 'pgri', 'nilai', 'marketplace', 'guru', 'sulit', 'diterapkan', 'di', 'sekolah', 'negeri', '']"
293,apakah guru itu barang ya sampai masuk marketplace kayak yang ada di facebook entar itu barang guru sampai si kurirnya teriak didepan pintu permisi paket,"['apakah', 'guru', 'itu', 'barang', 'ya', 'sampai', 'masuk', 'marketplace', 'kayak', 'yang', 'ada', 'di', 'facebook', 'entar', 'itu', 'barang', 'guru', 'sampai', 'si', 'kurirnya', 'teriak', 'didepan', 'pintu', 'permisi', 'paket']"
294,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,"['soal', 'rekrutmen', 'guru', 'honorer', 'nadiem', 'makarim', 'berikan', 'solusi', 'salah', 'satunya', 'melalui', 'marketplace', 'guru', '']"
295,tanda kemunduran dan menuju kehancuran pendidikan kita tatkala nadiem tidak memuliakan pemberi ilmu atau guru bagaimana mungkin bangsa ini bisa besar sementara gurunya tdk dimuliakan kebijakan marketplace guru adalah bukti paling nyata hilangnya memuliakan guru di satu sisi ,"['tanda', 'kemunduran', 'dan', 'menuju', 'kehancuran', 'pendidikan', 'kita', 'tatkala', 'nadiem', 'tidak', 'memuliakan', 'pemberi', 'ilmu', 'atau', 'guru', 'bagaimana', 'mungkin', 'bangsa', 'ini', 'bisa', 'besar', 'sementara', 'gurunya', 'tdk', 'dimuliakan', 'kebijakan', 'marketplace', 'guru', 'adalah', 'bukti', 'paling', 'nyata', 'hilangnya', 'memuliakan', 'guru', 'di', 'satu', 'sisi', '']"
296,duit ada berapa persen dari anggaran jumlahnya berapa kalau cuma miniscule amount jangan dianggap ada itu remah sisa sampah marketplace guru is the most stupidiest shit that i heard,"['duit', 'ada', 'berapa', 'persen', 'dari', 'anggaran', 'jumlahnya', 'berapa', 'kalau', 'cuma', 'miniscule', 'amount', 'jangan', 'dianggap', 'ada', 'itu', 'remah', 'sisa', 'sampah', 'marketplace', 'guru', 'is', 'the', 'most', 'stupidiest', 'shit', 'that', 'i', 'heard']"
297,guru bisa dibeli di marketplace,"['guru', 'bisa', 'dibeli', 'di', 'marketplace']"
298,sesi advance technical analysis sedang disampaikan oleh bursa marketplace guru tuan analysis in depth tentang gap trading ma fibonacci dalam trading dikongsikan oleh beliau kepada peserta ,"['sesi', 'advance', 'technical', 'analysis', 'sedang', 'disampaikan', 'oleh', 'bursa', 'marketplace', 'guru', 'tuan', 'analysis', 'in', 'depth', 'tentang', 'gap', 'trading', 'ma', 'fibonacci', 'dalam', 'trading', 'dikongsikan', 'oleh', 'beliau', 'kepada', 'peserta', '']"
299,alumni dan civitas ppkn unm menyoroti isu marketplace guru ,"['alumni', 'dan', 'civitas', 'ppkn', 'unm', 'menyoroti', 'isu', 'marketplace', 'guru', '']"
300,janji nadiem  persen ngawur sebab sangat sarat bermuatan politis nadiem sedang pansos dan cari simpati publik jgn lupa bahwa sederet masalah di kemendikbud sejak nadiem jd menteri yg terbaru soal marketplace guru hingga nasib guru honorer dgn gaji rendah ,"['janji', 'nadiem', 'persen', 'ngawur', 'sebab', 'sangat', 'sarat', 'bermuatan', 'politis', 'nadiem', 'sedang', 'pansos', 'dan', 'cari', 'simpati', 'publik', 'jgn', 'lupa', 'bahwa', 'sederet', 'masalah', 'di', 'kemendikbud', 'sejak', 'nadiem', 'jd', 'menteri', 'yg', 'terbaru', 'soal', 'marketplace', 'guru', 'hingga', 'nasib', 'guru', 'honorer', 'dgn', 'gaji', 'rendah', '']"
301,mangsamu guru iso dituku ng marketplace __,"['mangsamu', 'guru', 'iso', 'dituku', 'ng', 'marketplace', '__']"
302,star tribune columnist is our expert of the day if the financial guru is your goto source for money advice give him a vote now you can vote daily for your favorites until july     ,"['star', 'tribune', 'columnist', 'is', 'our', 'expert', 'of', 'the', 'day', 'if', 'the', 'financial', 'guru', 'is', 'your', 'goto', 'source', 'for', 'money', 'advice', 'give', 'him', 'a', 'vote', 'now', 'you', 'can', 'vote', 'daily', 'for', 'your', 'favorites', 'until', 'july', '']"
303,memang susah pendidikan di indonesia sudah terkapitalisasi dari bawah sampai ke atas karena memang komoditas yg menggiurkan pembukaan uud yang berbunyi setiap warga negara berhak mendapat pendidikan is definitely a bullshit nadiem aja fokusnya bikin marketplace guru,"['memang', 'susah', 'pendidikan', 'di', 'indonesia', 'sudah', 'terkapitalisasi', 'dari', 'bawah', 'sampai', 'ke', 'atas', 'karena', 'memang', 'komoditas', 'yg', 'menggiurkan', 'pembukaan', 'uud', 'yang', 'berbunyi', 'setiap', 'warga', 'negara', 'berhak', 'mendapat', 'pendidikan', 'is', 'definitely', 'a', 'bullshit', 'nadiem', 'aja', 'fokusnya', 'bikin', 'marketplace', 'guru']"
304,sentil marketplace guru pg minta pemerintah tuntaskan rekrutmen pppk ,"['sentil', 'marketplace', 'guru', 'pg', 'minta', 'pemerintah', 'tuntaskan', 'rekrutmen', 'pppk', '']"
305, marketplace guru mampukah menyolusi kebutuhan tenaga pendidik penulis noor afeefa kebutuhan tenaga pendidik guru masih menjadi problem serius dunia pendidikan di indonesia nasib guru honorer masih saja memilukan selengkapnya di  ,"['', 'marketplace', 'guru', 'mampukah', 'menyolusi', 'kebutuhan', 'tenaga', 'pendidik', 'penulis', 'noor', 'afeefa', 'kebutuhan', 'tenaga', 'pendidik', 'guru', 'masih', 'menjadi', 'problem', 'serius', 'dunia', 'pendidikan', 'di', 'indonesia', 'nasib', 'guru', 'honorer', 'masih', 'saja', 'memilukan', 'selengkapnya', 'di', '']"
306,marketplace guru  pengajar hal yg bagus dan wajib rakyat sangat mendukungsupaya ada kompetisi mutu sdm guru ,"['marketplace', 'guru', 'pengajar', 'hal', 'yg', 'bagus', 'dan', 'wajib', 'rakyat', 'sangat', 'mendukungsupaya', 'ada', 'kompetisi', 'mutu', 'sdm', 'guru', '']"
307,mendikbudristek nadiem makarim mengusulkan pembentukan marketplace guru lokapasar ini merupakan pangkalan data berisi profil guru yang rencananya mulai berlaku pada  namun ide itu justru menimbulkan polemik apa sebabnya baca selengkapnya  ,"['mendikbudristek', 'nadiem', 'makarim', 'mengusulkan', 'pembentukan', 'marketplace', 'guru', 'lokapasar', 'ini', 'merupakan', 'pangkalan', 'data', 'berisi', 'profil', 'guru', 'yang', 'rencananya', 'mulai', 'berlaku', 'pada', 'namun', 'ide', 'itu', 'justru', 'menimbulkan', 'polemik', 'apa', 'sebabnya', 'baca', 'selengkapnya', '']"
308,gagas marketplace guru kemendikbudristek dinilai lempar tanggung jawab ,"['gagas', 'marketplace', 'guru', 'kemendikbudristek', 'dinilai', 'lempar', 'tanggung', 'jawab', '']"
309,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,"['soal', 'rekrutmen', 'guru', 'honorer', 'nadiem', 'makarim', 'berikan', 'solusi', 'salah', 'satunya', 'melalui', 'marketplace', 'guru', '']"
310,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,"['soal', 'rekrutmen', 'guru', 'honorer', 'nadiem', 'makarim', 'berikan', 'solusi', 'salah', 'satunya', 'melalui', 'marketplace', 'guru', '']"
311,anggota komisi x dpr ri dari fraksi partai nasdem ratih megasari singkarru meminta kementerian pendidikan kebudayaan riset dan teknologi kemendikbudristek mengkaji ulang wacana perekrutan guru dengan model marketplace ,"['anggota', 'komisi', 'x', 'dpr', 'ri', 'dari', 'fraksi', 'partai', 'nasdem', 'ratih', 'megasari', 'singkarru', 'meminta', 'kementerian', 'pendidikan', 'kebudayaan', 'riset', 'dan', 'teknologi', 'kemendikbudristek', 'mengkaji', 'ulang', 'wacana', 'perekrutan', 'guru', 'dengan', 'model', 'marketplace', '']"
312,first and best cashtokens marketplace,"['first', 'and', 'best', 'cashtokens', 'marketplace']"
313,prokontra marketplace guru ala menteri nadiem ,"['prokontra', 'marketplace', 'guru', 'ala', 'menteri', 'nadiem', '']"
314,ribut mulu urusan cuan dan jabataniuran lancar kerja gak jelasbanyak guru gak jelas nasibnya tuhsertifikasi gak merata guru tua yg lama mengabdi gak dpt guru baru pada lolos sertifikasimarketplace guru dll,"['ribut', 'mulu', 'urusan', 'cuan', 'dan', 'jabataniuran', 'lancar', 'kerja', 'gak', 'jelasbanyak', 'guru', 'gak', 'jelas', 'nasibnya', 'tuhsertifikasi', 'gak', 'merata', 'guru', 'tua', 'yg', 'lama', 'mengabdi', 'gak', 'dpt', 'guru', 'baru', 'pada', 'lolos', 'sertifikasimarketplace', 'guru', 'dll']"
315,sekalinya kerja keluar cetusan marketplace guru ,"['sekalinya', 'kerja', 'keluar', 'cetusan', 'marketplace', 'guru', '']"
316,tujuan marketplace guru harus sejalan dengan program pemda ,"['tujuan', 'marketplace', 'guru', 'harus', 'sejalan', 'dengan', 'program', 'pemda', '']"
