,Komentar,tokenization
76,apa itu marketplace guru program usulan mendikbud nadiem makarim  ,"['apa', 'itu', 'marketplace', 'guru', 'program', 'usulan', 'mendikbud', 'nadiem', 'makarim', '']"
77,marketplace guru ala nadiem akankah menggusur masalah nepotisme atau justru sebaliknya,"['marketplace', 'guru', 'ala', 'nadiem', 'akankah', 'menggusur', 'masalah', 'nepotisme', 'atau', 'justru', 'sebaliknya']"
78,ramairamai ditolak anggota dpr lanyalla malah dukung gagasan nadiem soal marketplace guru ,"['ramairamai', 'ditolak', 'anggota', 'dpr', 'lanyalla', 'malah', 'dukung', 'gagasan', 'nadiem', 'soal', 'marketplace', 'guru', '']"
79,otak bisnis busuk nadiem diterapkan dalam ranah pendidikan guru diperjual belikan layaknya barang dagangan marketplace merendahkan harkat martabat guru ,"['otak', 'bisnis', 'busuk', 'nadiem', 'diterapkan', 'dalam', 'ranah', 'pendidikan', 'guru', 'diperjual', 'belikan', 'layaknya', 'barang', 'dagangan', 'marketplace', 'merendahkan', 'harkat', 'martabat', 'guru', '']"
80,dunia pendidikan saat ini tengah ramai memperbincangkan rencana program marketplace guru yang digagas menteri pendidikan kebudayaan riset dan teknologi mendikbud ristek nadiem makarim ,"['dunia', 'pendidikan', 'saat', 'ini', 'tengah', 'ramai', 'memperbincangkan', 'rencana', 'program', 'marketplace', 'guru', 'yang', 'digagas', 'menteri', 'pendidikan', 'kebudayaan', 'riset', 'dan', 'teknologi', 'mendikbud', 'ristek', 'nadiem', 'makarim', '']"
81,dpd ri minta menteri nadiem mengganti nama platform marketplace guru  open po,"['dpd', 'ri', 'minta', 'menteri', 'nadiem', 'mengganti', 'nama', 'platform', 'marketplace', 'guru', 'open', 'po']"
82,syarat ketiga saya minta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated,"['syarat', 'ketiga', 'saya', 'minta', 'kepada', 'menteri', 'nadiem', 'untuk', 'mengganti', 'nama', 'platform', 'tersebut', 'bukan', 'marketplace', 'guru', 'tapi', 'cukup', 'menggunakan', 'istilah', 'platform', 'database', 'guru', 'yang', 'bersifat', 'living', 'dan', 'updated']"
83,gagasan mendikbudristek nadiem makarim tentang marketplace guru ramairamai ditolak oleh anggota komisi x dpr ri para anggota dpr menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di indonesia     ,"['gagasan', 'mendikbudristek', 'nadiem', 'makarim', 'tentang', 'marketplace', 'guru', 'ramairamai', 'ditolak', 'oleh', 'anggota', 'komisi', 'x', 'dpr', 'ri', 'para', 'anggota', 'dpr', 'menilai', 'gagasan', 'tersebut', 'tidak', 'menyelesaikan', 'akar', 'permasalahan', 'soal', 'tenaga', 'pendidikan', 'di', 'indonesia', '']"
84,lanyalla dukung gagasan menteri nadiem soal marketplace guru dengan catatan ini  ,"['lanyalla', 'dukung', 'gagasan', 'menteri', 'nadiem', 'soal', 'marketplace', 'guru', 'dengan', 'catatan', 'ini', '']"
85,lanyalla minta menteri nadiem mengganti nama platform marketplace guru  rusia,"['lanyalla', 'minta', 'menteri', 'nadiem', 'mengganti', 'nama', 'platform', 'marketplace', 'guru', 'rusia']"
86,ide pembuatan marketplace guru dicetuskan oleh menteri pendidikan kebudayaan riset dan teknologi nadiem makarim pada rapat kerja dengan komisi x dpr  mei  menyoal marketplace guru opini  juni   ,"['ide', 'pembuatan', 'marketplace', 'guru', 'dicetuskan', 'oleh', 'menteri', 'pendidikan', 'kebudayaan', 'riset', 'dan', 'teknologi', 'nadiem', 'makarim', 'pada', 'rapat', 'kerja', 'dengan', 'komisi', 'x', 'dpr', 'mei', 'menyoal', 'marketplace', 'guru', 'opini', 'juni', '']"
87,lanyalla dukung gagasan menteri nadiem asal penuhi  syarat lanyalla mahmud mattalitti mendukung gagasan menteri nadiem makarim tentang marketplace guru tetapi dia menetapkan tiga   via ,"['lanyalla', 'dukung', 'gagasan', 'menteri', 'nadiem', 'asal', 'penuhi', 'syarat', 'lanyalla', 'mahmud', 'mattalitti', 'mendukung', 'gagasan', 'menteri', 'nadiem', 'makarim', 'tentang', 'marketplace', 'guru', 'tetapi', 'dia', 'menetapkan', 'tiga', 'via', '']"
88,marketplace untuk talent guru di mana akan ada suatu tempat di mana semua guruguru yang boleh mengajar masuk ke dalam sebuah data base yang bisa diakses oleh semua sekolah yang ada di indonesia terang nadiem   lanyalla ,"['marketplace', 'untuk', 'talent', 'guru', 'di', 'mana', 'akan', 'ada', 'suatu', 'tempat', 'di', 'mana', 'semua', 'guruguru', 'yang', 'boleh', 'mengajar', 'masuk', 'ke', 'dalam', 'sebuah', 'data', 'base', 'yang', 'bisa', 'diakses', 'oleh', 'semua', 'sekolah', 'yang', 'ada', 'di', 'indonesia', 'terang', 'nadiem', 'lanyalla', '']"
89,nadiem menyampaikan bahwa pihaknya telah berdiskusi dengan kemenkeu kemendagri dan kemenpanrb dalam membuat solusi atas permasalahan mengenai guru salah satu solusinya adalah dengan pembuatan marketplace untuk guru   lanyalla ,"['nadiem', 'menyampaikan', 'bahwa', 'pihaknya', 'telah', 'berdiskusi', 'dengan', 'kemenkeu', 'kemendagri', 'dan', 'kemenpanrb', 'dalam', 'membuat', 'solusi', 'atas', 'permasalahan', 'mengenai', 'guru', 'salah', 'satu', 'solusinya', 'adalah', 'dengan', 'pembuatan', 'marketplace', 'untuk', 'guru', 'lanyalla', '']"
90,marketplace guru sendiri merupakan database bagi semua sekolah untuk dapat mencari siapa saja orang yang bisa menjadi pendidik atau diundang ke sekolah tersebut   lanyalla ,"['marketplace', 'guru', 'sendiri', 'merupakan', 'database', 'bagi', 'semua', 'sekolah', 'untuk', 'dapat', 'mencari', 'siapa', 'saja', 'orang', 'yang', 'bisa', 'menjadi', 'pendidik', 'atau', 'diundang', 'ke', 'sekolah', 'tersebut', 'lanyalla', '']"
91,untuk diketahui menteri nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahuntahun   lanyalla ,"['untuk', 'diketahui', 'menteri', 'nadiem', 'mengklaim', 'gagasan', 'marketplace', 'guru', 'untuk', 'mengatasi', 'tenaga', 'guru', 'honorer', 'yang', 'terjadi', 'selama', 'bertahuntahun', 'lanyalla', '']"
92,tidak perlu menggunakan kalimat seolaholah gagasan ini seperti marketplace jual beli barang guru ini manusia terhormat jangan disamakan dengan barang atau jasa   lanyalla ,"['tidak', 'perlu', 'menggunakan', 'kalimat', 'seolaholah', 'gagasan', 'ini', 'seperti', 'marketplace', 'jual', 'beli', 'barang', 'guru', 'ini', 'manusia', 'terhormat', 'jangan', 'disamakan', 'dengan', 'barang', 'atau', 'jasa', 'lanyalla', '']"
93,syarat terakhir lanyalla meminta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated  lanyalla ,"['syarat', 'terakhir', 'lanyalla', 'meminta', 'kepada', 'menteri', 'nadiem', 'untuk', 'mengganti', 'nama', 'platform', 'tersebut', 'bukan', 'marketplace', 'guru', 'tapi', 'cukup', 'menggunakan', 'istilah', 'platform', 'database', 'guru', 'yang', 'bersifat', 'living', 'dan', 'updated', 'lanyalla', '']"
94,ketua dpd ri dukung gagasan menteri nadiem asal lakukan tiga hal ini jakarta  gagasan mendikbudristek nadiem makarim tentang marketplace guru ramairamai ditolak oleh anggota komisi x dpr ri   lanyalla   ,"['ketua', 'dpd', 'ri', 'dukung', 'gagasan', 'menteri', 'nadiem', 'asal', 'lakukan', 'tiga', 'hal', 'ini', 'jakarta', 'gagasan', 'mendikbudristek', 'nadiem', 'makarim', 'tentang', 'marketplace', 'guru', 'ramairamai', 'ditolak', 'oleh', 'anggota', 'komisi', 'x', 'dpr', 'ri', 'lanyalla', '']"
95,ketua dpd ri dukung gagasan menteri nadiem asal lakukan tiga hal ini jakarta  gagasan mendikbudristek nadiem makarim tentang marketplace guru ramairamai ditolak oleh anggota komisi x dpr ri para anggota dpr menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di indonesia selain itu gagasan ini juga dianggap merendahkan profesi guru sebagai tenaga pendidik yang disamakan dengan barang yang dapat diperjualbelikan tanggapan berbeda justru disampaikan ketua dpd ri aa lanyalla mahmud mattalitti senator asal jawa timur itu mendukung gagasan yang dicetuskan oleh menteri nadiem hanya saja ada tiga syarat utama yang harus dijadikan pedoman jika ingin gagasan tersebut direalisasikan muara dari tiga syarat itu adalah untuk memastikan bahwa program tersebut mampu menjawab percepatan rekrutmen para guru honorer yang sudah lulus passing grade tapi belum diusulkan dan belum diangkat menjadi pk pegawai pemerintah dengan perjanjian kerja ungkap lanyalla senin  ketiga syarat tersebut lanjut lanyalla yang pertama platform yang direncanakan itu harus benarbenar diisi oleh mereka yang lulus passing grade atau nilai acuan dengan standar tertentu di sisi lain mereka juga harus yang benarbenar belum diusulkan dan belum direkrut jadi benarbenar tepat sasaran karena banyak sekali guru yang belum bernasib baik harus dengan syarat itu tandasnya syarat kedua tokoh asal bugis yang besar di surabaya itu melanjutkan platform itu harus dieksekusi sebagai platform non profit dengan kata lain lanyalla tak ingin platform ini terdapat muatan bisnis platform ini tak boleh ada unsur komersil tidak boleh ada platform fee yang dibebankan kepada user harus bisa diakses secara cumacuma alias gratis karena memang niatnya harus sebagai solusi kementerian jelas lanyalla syarat terakhir lanyalla meminta kepada menteri nadiem untuk mengganti nama platform tersebut bukan marketplace guru tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated tidak perlu menggunakan kalimat seolaholah gagasan ini seperti marketplace jual beli barang guru ini manusia terhormat jangan disamakan dengan barang atau jasa cari platform yang namanya lebih elegan sebagai misal guruku database guru atau living database guru agar tidak sama seperti platform jual beli barang tegas lanyalla untuk diketahui menteri nadiem mengklaim gagasan marketplace guru untuk mengatasi tenaga guru honorer yang terjadi selama bertahuntahun marketplace guru sendiri merupakan database bagi semua sekolah untuk dapat mencari siapa saja orang yang bisa menjadi pendidik atau diundang ke sekolah tersebut nadiem menyampaikan bahwa pihaknya telah berdiskusi dengan kemenkeu kemendagri dan kemenpanrb dalam membuat solusi atas permasalahan mengenai guru salah satu solusinya adalah dengan pembuatan marketplace untuk guru marketplace untuk talent guru di mana akan ada suatu tempat di mana semua guruguru yang boleh mengajar masuk ke dalam sebuah data base yang bisa diakses oleh semua sekolah yang ada di indonesia terang nadiem     ,"['ketua', 'dpd', 'ri', 'dukung', 'gagasan', 'menteri', 'nadiem', 'asal', 'lakukan', 'tiga', 'hal', 'ini', 'jakarta', 'gagasan', 'mendikbudristek', 'nadiem', 'makarim', 'tentang', 'marketplace', 'guru', 'ramairamai', 'ditolak', 'oleh', 'anggota', 'komisi', 'x', 'dpr', 'ri', 'para', 'anggota', 'dpr', 'menilai', 'gagasan', 'tersebut', 'tidak', 'menyelesaikan', 'akar', 'permasalahan', 'soal', 'tenaga', 'pendidikan', 'di', 'indonesia', 'selain', 'itu', 'gagasan', 'ini', 'juga', 'dianggap', 'merendahkan', 'profesi', 'guru', 'sebagai', 'tenaga', 'pendidik', 'yang', 'disamakan', 'dengan', 'barang', 'yang', 'dapat', 'diperjualbelikan', 'tanggapan', 'berbeda', 'justru', 'disampaikan', 'ketua', 'dpd', 'ri', 'aa', 'lanyalla', 'mahmud', 'mattalitti', 'senator', 'asal', 'jawa', 'timur', 'itu', 'mendukung', 'gagasan', 'yang', 'dicetuskan', 'oleh', 'menteri', 'nadiem', 'hanya', 'saja', 'ada', 'tiga', 'syarat', 'utama', 'yang', 'harus', 'dijadikan', 'pedoman', 'jika', 'ingin', 'gagasan', 'tersebut', 'direalisasikan', 'muara', 'dari', 'tiga', 'syarat', 'itu', 'adalah', 'untuk', 'memastikan', 'bahwa', 'program', 'tersebut', 'mampu', 'menjawab', 'percepatan', 'rekrutmen', 'para', 'guru', 'honorer', 'yang', 'sudah', 'lulus', 'passing', 'grade', 'tapi', 'belum', 'diusulkan', 'dan', 'belum', 'diangkat', 'menjadi', 'pk', 'pegawai', 'pemerintah', 'dengan', 'perjanjian', 'kerja', 'ungkap', 'lanyalla', 'senin', 'ketiga', 'syarat', 'tersebut', 'lanjut', 'lanyalla', 'yang', 'pertama', 'platform', 'yang', 'direncanakan', 'itu', 'harus', 'benarbenar', 'diisi', 'oleh', 'mereka', 'yang', 'lulus', 'passing', 'grade', 'atau', 'nilai', 'acuan', 'dengan', 'standar', 'tertentu', 'di', 'sisi', 'lain', 'mereka', 'juga', 'harus', 'yang', 'benarbenar', 'belum', 'diusulkan', 'dan', 'belum', 'direkrut', 'jadi', 'benarbenar', 'tepat', 'sasaran', 'karena', 'banyak', 'sekali', 'guru', 'yang', 'belum', 'bernasib', 'baik', 'harus', 'dengan', 'syarat', 'itu', 'tandasnya', 'syarat', 'kedua', 'tokoh', 'asal', 'bugis', 'yang', 'besar', 'di', 'surabaya', 'itu', 'melanjutkan', 'platform', 'itu', 'harus', 'dieksekusi', 'sebagai', 'platform', 'non', 'profit', 'dengan', 'kata', 'lain', 'lanyalla', 'tak', 'ingin', 'platform', 'ini', 'terdapat', 'muatan', 'bisnis', 'platform', 'ini', 'tak', 'boleh', 'ada', 'unsur', 'komersil', 'tidak', 'boleh', 'ada', 'platform', 'fee', 'yang', 'dibebankan', 'kepada', 'user', 'harus', 'bisa', 'diakses', 'secara', 'cumacuma', 'alias', 'gratis', 'karena', 'memang', 'niatnya', 'harus', 'sebagai', 'solusi', 'kementerian', 'jelas', 'lanyalla', 'syarat', 'terakhir', 'lanyalla', 'meminta', 'kepada', 'menteri', 'nadiem', 'untuk', 'mengganti', 'nama', 'platform', 'tersebut', 'bukan', 'marketplace', 'guru', 'tapi', 'cukup', 'menggunakan', 'istilah', 'platform', 'database', 'guru', 'yang', 'bersifat', 'living', 'dan', 'updated', 'tidak', 'perlu', 'menggunakan', 'kalimat', 'seolaholah', 'gagasan', 'ini', 'seperti', 'marketplace', 'jual', 'beli', 'barang', 'guru', 'ini', 'manusia', 'terhormat', 'jangan', 'disamakan', 'dengan', 'barang', 'atau', 'jasa', 'cari', 'platform', 'yang', 'namanya', 'lebih', 'elegan', 'sebagai', 'misal', 'guruku', 'database', 'guru', 'atau', 'living', 'database', 'guru', 'agar', 'tidak', 'sama', 'seperti', 'platform', 'jual', 'beli', 'barang', 'tegas', 'lanyalla', 'untuk', 'diketahui', 'menteri', 'nadiem', 'mengklaim', 'gagasan', 'marketplace', 'guru', 'untuk', 'mengatasi', 'tenaga', 'guru', 'honorer', 'yang', 'terjadi', 'selama', 'bertahuntahun', 'marketplace', 'guru', 'sendiri', 'merupakan', 'database', 'bagi', 'semua', 'sekolah', 'untuk', 'dapat', 'mencari', 'siapa', 'saja', 'orang', 'yang', 'bisa', 'menjadi', 'pendidik', 'atau', 'diundang', 'ke', 'sekolah', 'tersebut', 'nadiem', 'menyampaikan', 'bahwa', 'pihaknya', 'telah', 'berdiskusi', 'dengan', 'kemenkeu', 'kemendagri', 'dan', 'kemenpanrb', 'dalam', 'membuat', 'solusi', 'atas', 'permasalahan', 'mengenai', 'guru', 'salah', 'satu', 'solusinya', 'adalah', 'dengan', 'pembuatan', 'marketplace', 'untuk', 'guru', 'marketplace', 'untuk', 'talent', 'guru', 'di', 'mana', 'akan', 'ada', 'suatu', 'tempat', 'di', 'mana', 'semua', 'guruguru', 'yang', 'boleh', 'mengajar', 'masuk', 'ke', 'dalam', 'sebuah', 'data', 'base', 'yang', 'bisa', 'diakses', 'oleh', 'semua', 'sekolah', 'yang', 'ada', 'di', 'indonesia', 'terang', 'nadiem', '']"
