,user,date,renderedContent
22,Beritasatu,2023-06-14 04:55:16+00:00,"Soal Marketplace Guru, Pengamat Nilai Nadiem Tak Paham Kondisi Pendidikan Indonesia https://t.co/Qbh8ghxLeQ"
23,Beritasatu,2023-06-13 12:26:22+00:00,"Sentil Marketplace Guru Usulan Nadiem, Pengamat Sebut PR Lebih Besar https://t.co/7YYZ7iQT5F"
24,strike_bravo_b,2023-06-13 10:55:48+00:00,Solusi nadiem :bikin marketplace guru 😂
25,rakyatpembaruan,2023-06-13 09:07:36+00:00,Wacana Nadiem Bikin ‘Marketplace Guru’ Banjir Kritik dari Guru-Pengamat! https://t.co/4a14Jczybt lewat @rakyatpembaruan.com
26,tremeanza,2023-06-12 16:38:44+00:00,@mahlid_ emang kadang nadiem bener bikin guru masuk marketplace kalau begini 😭🤣
27,infopabelan,2023-06-12 15:32:32+00:00,"[Pabelan TV]

Penerapan sistem Marketplace dalam perekrutan guru yang diperkenalkan oleh Nadiem Makarim selaku menteri Pendidikan, Kebudayaan, Riset dan Teknologi (Mendikbudristek) belakangan ini tengah menjadi sorotan."
28,pijarguru,2023-06-12 05:50:19+00:00,"Apakah gagasan Nadiem Makarim untuk membuat platform digital marketplace guru dapat menyelesaikan persoalan karut marut guru Pegawai Pemerintah dengan Perjanjian Kerja(P3K)? @AlphaARachman
@Kemdikbud_RI @PBPGRI_OFFICIAL
@icharis simak di link ini:
https://t.co/bZWtRiLW43 https://t.co/L0Y3C6MHui"
29,adibaprayoga,2023-06-11 23:26:41+00:00,"Syarat terakhir, LaNyalla meminta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated. #LaNyalla"
30,adibaprayoga,2023-06-11 23:26:34+00:00,Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. Para anggota DPR menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di Indonesia. #LaNyalla https://t.co/1eOTE5q5nO
31,aly_benzema,2023-06-11 06:26:00+00:00,"Sistem pendidikan yang pernah Anies gagas saat menjadi menteri pendidikan.

Kini guru bisa di cari di marketplace oleh Nadiem Makarim, kocak 🤣😝

Cekidot 😁👇 https://t.co/crOzL8kqRN"
32,hariankompas,2023-06-10 08:05:28+00:00,"Wakil Ketua Komisi VII DPR RI Eddy Soeparno pada Jumat (9/6/2023), mengkritik kebijakan marketplace guru, ide yang digagas oleh Menteri Pendidikan, Kebudayaaan, Riset dan Teknologi Nadiem Makarim bulan Mei lalu. #VideoBerita #AdadiKompas 

https://t.co/CE7rbu4x0f"
33,KompasTV,2023-06-10 01:27:03+00:00,PAN Minta Nadiem Kaji Ulang Konsep Marketplace Guru: Timpang Kesejahteraan Guru yang Harus Diatasi https://t.co/XpGlV9ysWu
34,Miduk17,2023-06-09 04:08:01+00:00,"Tak banyak partai yang KONSISTEN memebela nasib para GURU, salah satunya adl PAN

Eddy Soeparno, Sekjend DPP PAN lebih menekankan kesejateraan guru ketimbang upaya marketplace guru yg diajukan oleh Nadiem Makarim

https://t.co/wiJaSS0kD6"
35,MixelYuk,2023-06-08 23:05:00+00:00,"@DemokrasiMartir @Nadiem_Makarim @luhut_binsar Ini yg kebijakan siswa bisa milih guru yg ngajar ya? Saya liat-liat kebanyakan yg protes istilahnya ""marketplace"" daripada fungsi dan tujuan programnya. Program ini lebih bagus untuk perguruan tinggi daripada sekolah, krn utk kondisi saat ini independensi siswa masih minim."
36,MasUchiha_,2023-06-08 14:43:08+00:00,"MARKETPLACE GURU: BUKAN SOLUSI TEPAT PENDIDIKAN KITA.
.
Malam Jum’at yang berbahagia namun tidak dgn Luhut, Haris Azhar dan Fatia yg abis Bersidang. Merupakan saat yg tepat utk bahas kebijakan Mendikbud Nadiem yang penuh kontroversi ini. https://t.co/4SW0MBqpCf"
37,cocor_bangor,2023-06-08 13:51:26+00:00,"Nadiem bilang Marketplace guru bisa menjadi akses kepala sekolah agar dapat merekrut serta memenuhi kebutuhan guru langsung dari marketplace, tanpa harus menunggu perekrutan nasional. Tapi apakah ini solusi paling tepat untuk masalah pendidikan yang carut marut di Indonesia? https://t.co/T6r8j2wTHY"
38,cocor_bangor,2023-06-08 13:51:23+00:00,"Sekilas kebijakan Nadiem soal ""Marketplace Guru"" menjanjikan dan masuk akal, namun jk dikaji lebih dlm kebijakannya dungu kalo kata Rocky Gerung. Ide soal ini mnjadi solusi agar masalah merekrut guru cepat. Kepala sekolah bs mencari guru yg dibutuhkan melalui aplikasi dgn cepat. https://t.co/kTL8vdcezG"
39,cocor_bangor,2023-06-08 13:51:20+00:00,"Nadiem dan Kebijakan Ngaur Soal ""Marketplace Guru""

Mulai dari Raffi Ahmad, Sule, Komeng semuanya sepakat bhwa masalah utama guru adalah kesejahteraan bukan perekrutan guru. Apalagi Nadiem ingin membuat ""Marketplace Guru"" yg justru menimbulkan masalah baru. https://t.co/4guvMkkWIk"
40,bung_madin,2023-06-08 13:42:15+00:00,"Ngopi dulu sambil nungguin si Nadiem bangun☕

Perdebatan dikalangan partai pun terjadi, gara2 marketplace ala Nadiem yg tdk jelas. Ia mengajukan bhw guru yg lulus PPPK sejak awal memang ga dijamin akan mendapatkan penempatan.

Begini nih kalau kurangnya komunikasi.
Jadi ngaco😂 https://t.co/NlGvQJyIqT"
41,bung_madin,2023-06-08 13:42:02+00:00,"""JALUR TIKUS MARKETPLACE GURU ALA NADIEM"" 

Bung Madin kali ini, mau bongkar2 sisi bobrok dari ""MARKETPLACE GURU"" yg bkn hanya sekadar kebijakan belaka, melainkan tersimpan sisi bisnis, korupsi hingga memperdagangkan guru layaknya barang dagangan.

Sadisss😱 https://t.co/Wzg4s94JZL"
42,narkosun,2023-06-08 10:02:47+00:00,"Marketplace memang bisa mempertemukan demand &amp; supply dgn cepat, tapi bagaimana meningkatkan kualitas dan kesejahteraan guru blm terjawab.

Program Marketplace Guru Inisiasi Nadiem Dikritik PAN, Dinilai Hanya Solusi Jangka Pendek. Monggo pak @nadiemmakarim 🙏 https://t.co/miFHs1bKmc"
43,Aryprasetyo85,2023-06-08 08:48:19+00:00,"Bukti PAN peduli dengan nasib Guru..

Wakil Ketua Komisi VII DPR Eddy Soeparno menyoroti ide dari Menteri Pendidikan, Kebudayaan, Riset dan Teknologi (Mendikbudristek) Nadiem Makarim soal pembentukan platform Marketplace Guru atau lokapasar untuk penyelesaian masalah pendidikan di Indonesia.

Eddy mengatakan bahwa ide tersebut kurang tepat untuk dilakukan saat ini.
Eddy menilai platform tersebut juga tidak bisa memastikan soal kualitas guru. Dia menyebut Nadiem seharusnya menyelesaikan masalah yang ada, seperti soal ketimpangan kesejahteraan.
@Official_PAN @ZUL_Hasan
https://t.co/KHqkO2k9pr"
44,fajaronline,2023-06-08 06:44:16+00:00,"Kritik Marketplace Guru Gagasan Nadiem, Loyalis Jokowi: Berpotensi Memunculkan Subjektivitas dari Sekolah dan Stakeholder 
https://t.co/DQ75jzahOz 
#JhonSitorus #Jokowi #MarketplaceGuru #NadiemMakarim"
45,Jinjit_jinjit,2023-06-08 06:05:07+00:00,Marketplace Guru ala mas Nadiem ini keren menurutku apalg jaman now. Mengingat masih bnyk dibutuhkan tenaga guru di pelosok tanah air. https://t.co/Z3isIMLeyo
46,hmpeupi,2023-06-08 05:08:09+00:00,"Ide tersebut berupa gagasan pembentukan  platform bernama Marketplace Guru. Menurut Nadiem pencetusan gagasan Marketplace Guru sebagai upaya dalam mengatasi masalah tenaga guru honorer yang terjadi selama bertahun-tahun. Platform marketplace Guru merupakan media perekrutan guru, https://t.co/twxAJba6Y5"
47,hmpeupi,2023-06-08 05:08:05+00:00,"[ MARKETPLACE GURU: SOLUSI ATAU DEGRADASI?]

Halo Warga Pendidikan Ekonomi!👋🏻
Salam Perjuangan!
Salam Demokrasi Bagi Kita Semua

Dewasa ini, dunia pendidikan dihebohkan oleh ide baru yang di keluarkan oleh Menteri Pendidikan, kebudayaan, Riset, dan Teknologi Nadiem Makarim. https://t.co/V0d8G0f9JN"
48,zanatul_91,2023-06-08 04:46:43+00:00,"28) untuk mengurus perekrutan guru marketplace.

Menteri Nadiem menyampaikan bahwa guru yang lulus ujian PPPK sejak awal memang tidak dijamin akan mendapat penempatan. Pernyataan ini mengagetkan banyak guru karena sejak awal mereka merasa bahwa bila lulus PPPK, berarti akan...."
49,zanatul_91,2023-06-08 04:38:18+00:00,"24) Jika gaji guru PPPK nanti dibayar melalui sekolah secara langsung sebagaimana dana BOS, potensi korupsi, kolusi, dan nepotisme (KKN) yang selama ini terjadi pada dana BOS akan berpotensi besar terjadi pula pada marketplace. Nadiem berjanji dana yang ditransfer..."
50,zanatul_91,2023-06-08 04:38:16+00:00,"19) dengan langsung ke sekolah melalui marketplace guru.

*Anggaran Guru*

Solusi Nadiem ini jelas tidak memecahkan persoalan inti, yaitu selisih kuota guru antara pusat dan daerah."
51,zanatul_91,2023-06-08 04:38:11+00:00,"8) Meskipun sistem ini nanti bersifat tertutup, paradigma guru sebagai produk dan sekolah sebagai warung dagangan akan diwujudkan dalam marketplace guru ala Nadiem ini.

Velislava Hillman dan Molly Esquivel (2022) menggambarkan bagaimana guru profesional di Inggris harus ..."
52,zanatul_91,2023-06-08 04:38:11+00:00,"7) melalui pihak ketiga (edtech). Dengan demikian, guru harus siap dipajang layaknya barang dagangan.

Mslahny, Nadiem hendak menerapkan pola kerja marketplace ini dalam seleksi aparatur sipil negara (ASN) guru PPPK, yang notabene merupakan seleksi guru yg dilakukan pemerintah."
